Date,Open,High,Low,Close,Volume
14-Jun-17,19.10,19.13,18.76,18.82,90977
13-Jun-17,18.95,18.96,18.84,18.89,448739
12-Jun-17,18.92,18.96,18.86,18.89,627881
9-Jun-17,19.10,19.15,18.93,19.03,247596
8-Jun-17,19.26,19.27,19.12,19.15,122726
7-Jun-17,19.39,19.49,19.38,19.46,129677
6-Jun-17,19.43,19.45,19.28,19.29,192320
5-Jun-17,19.59,19.59,19.43,19.44,132984
2-Jun-17,19.44,19.68,19.44,19.68,117968
1-Jun-17,19.38,19.46,19.33,19.38,142838
31-May-17,19.56,19.56,19.15,19.24,327452
30-May-17,19.79,19.88,19.76,19.82,100146
26-May-17,19.89,19.98,19.89,19.94,87855
25-May-17,19.93,20.03,19.91,19.95,75162
24-May-17,20.07,20.07,19.86,19.98,200888
23-May-17,20.26,20.26,20.05,20.09,119717
22-May-17,20.08,20.26,20.08,20.22,338555
19-May-17,19.63,19.91,19.63,19.87,171827
18-May-17,19.16,19.33,19.16,19.33,211288
17-May-17,19.43,19.52,19.21,19.21,313232
16-May-17,19.47,19.54,19.42,19.53,227145
15-May-17,19.04,19.16,18.99,19.15,114360
12-May-17,19.00,19.10,18.92,19.08,245731
11-May-17,18.24,18.24,18.10,18.17,987312
10-May-17,18.21,18.31,18.18,18.26,156488
9-May-17,18.31,18.35,18.23,18.25,136679
8-May-17,18.35,18.41,18.26,18.32,192625
5-May-17,18.07,18.30,18.05,18.30,736250
4-May-17,17.97,18.06,17.93,18.05,778655
3-May-17,17.91,17.93,17.76,17.79,161138
2-May-17,17.66,17.78,17.66,17.78,66268
1-May-17,17.46,17.70,17.46,17.59,90801
28-Apr-17,17.47,17.56,17.44,17.55,70373
27-Apr-17,17.61,17.62,17.52,17.60,134857
26-Apr-17,17.85,17.87,17.80,17.85,85820
25-Apr-17,17.78,18.00,17.77,18.00,168984
24-Apr-17,17.66,17.74,17.65,17.73,136172
21-Apr-17,16.98,17.05,16.94,17.00,79672
20-Apr-17,17.05,17.11,17.01,17.05,149555
19-Apr-17,17.01,17.10,16.99,16.99,116132
18-Apr-17,17.08,17.16,17.01,17.16,177204
17-Apr-17,17.05,17.35,17.05,17.13,81887
13-Apr-17,17.01,17.04,16.96,16.97,170083
12-Apr-17,17.01,17.15,17.01,17.15,198323
11-Apr-17,17.17,17.22,17.03,17.13,123145
10-Apr-17,17.15,17.20,17.09,17.10,509433
7-Apr-17,17.10,17.20,17.07,17.09,95671
6-Apr-17,17.23,17.31,17.22,17.26,76346
5-Apr-17,17.35,17.41,17.27,17.30,322918
4-Apr-17,17.48,17.53,17.41,17.52,60964
3-Apr-17,17.57,17.62,17.43,17.57,50867
31-Mar-17,17.54,17.62,17.52,17.55,69541
30-Mar-17,17.36,17.46,17.33,17.42,150900
29-Mar-17,17.64,17.64,17.52,17.62,115178
28-Mar-17,17.59,17.77,17.59,17.67,74837
