Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,782.0,782.0,750.0,752.0,431.1761779785156,399000000
2000-01-05,750.0,763.0,750.0,753.0,431.7496337890625,836500000
2000-01-06,755.0,800.0,755.0,771.0,442.07012939453125,1286000000
2000-01-07,781.0,810.0,770.0,779.0,446.6572570800781,2238000000
2000-01-10,779.0,779.0,779.0,779.0,446.6572570800781,0
2000-01-11,760.0,800.0,752.0,799.0,458.124755859375,1661500000
2000-01-12,809.0,848.0,790.0,809.0,463.8585510253906,2543000000
2000-01-13,859.0,909.0,853.0,909.0,521.1957397460938,3956000000
2000-01-14,939.0,952.0,907.0,910.0,521.7691040039062,6396500000
2000-01-17,930.0,930.0,880.0,890.0,510.30169677734375,967500000
2000-01-18,898.0,929.0,860.0,920.0,527.5027465820312,2346500000
2000-01-19,930.0,938.0,906.0,938.0,537.823486328125,1354500000
2000-01-20,948.0,978.0,935.0,965.0,553.304443359375,1839000000
2000-01-21,965.0,978.0,945.0,970.0,556.1714477539062,1421000000
2000-01-24,978.0,1040.0,975.0,1010.0,579.106201171875,2771500000
2000-01-25,990.0,1000.0,955.0,990.0,567.6388549804688,1292500000
2000-01-26,990.0,990.0,950.0,950.0,544.7041015625,922000000
2000-01-27,920.0,929.0,890.0,900.0,516.0352783203125,1493500000
2000-01-28,890.0,920.0,884.0,911.0,522.342529296875,1076500000
2000-01-31,891.0,909.0,888.0,888.0,509.15484619140625,906500000
2000-02-01,898.0,924.0,882.0,898.0,514.888671875,1347500000
2000-02-02,948.0,985.0,928.0,967.0,554.4515380859375,2589500000
2000-02-03,997.0,1040.0,991.0,1010.0,579.106201171875,4157500000
2000-02-04,1010.0,1020.0,980.0,1000.0,573.3726806640625,1285500000
2000-02-07,980.0,988.0,964.0,978.0,560.758544921875,724500000
2000-02-08,950.0,997.0,935.0,951.0,545.27734375,1353500000
2000-02-09,945.0,955.0,930.0,930.0,533.2365112304688,1097500000
2000-02-10,920.0,924.0,891.0,900.0,516.0352783203125,938000000
2000-02-11,900.0,900.0,900.0,900.0,516.0352783203125,0
2000-02-14,890.0,912.0,885.0,901.0,516.6087646484375,671500000
2000-02-15,908.0,910.0,835.0,853.0,489.0868225097656,1028500000
2000-02-16,841.0,842.0,811.0,830.0,475.89935302734375,709000000
2000-02-17,830.0,859.0,821.0,822.0,471.31207275390625,657500000
2000-02-18,820.0,840.0,811.0,833.0,477.61956787109375,1171000000
2000-02-21,830.0,834.0,818.0,822.0,471.31207275390625,627000000
2000-02-22,845.0,877.0,825.0,825.0,473.0323486328125,537000000
2000-02-23,868.0,868.0,800.0,829.0,475.325927734375,897000000
2000-02-24,832.0,840.0,817.0,817.0,468.4455261230469,410500000
2000-02-25,803.0,813.0,791.0,797.0,456.9780578613281,1558000000
2000-02-28,817.0,820.0,786.0,790.0,452.96441650390625,1630500000
2000-02-29,785.0,800.0,771.0,785.0,450.0975341796875,1997500000
2000-03-01,805.0,815.0,796.0,810.0,464.431884765625,718500000
2000-03-02,815.0,816.0,792.0,795.0,455.8312072753906,795000000
2000-03-03,790.0,791.0,770.0,770.0,441.4969482421875,808500000
2000-03-06,761.0,775.0,703.0,715.0,409.9613952636719,1694000000
2000-03-07,720.0,738.0,715.0,722.0,413.97503662109375,1706000000
2000-03-08,721.0,731.0,711.0,728.0,417.4152526855469,1160000000
2000-03-09,718.0,726.0,688.0,688.0,394.4804382324219,1813500000
2000-03-10,688.0,729.0,688.0,729.0,417.98858642578125,1396500000
2000-03-13,720.0,738.0,702.0,715.0,409.9613952636719,1233000000
2000-03-14,700.0,724.0,700.0,718.0,411.6814270019531,1354000000
2000-03-15,707.0,710.0,691.0,700.0,401.36083984375,709000000
2000-03-16,702.0,705.0,695.0,699.0,400.7874755859375,502500000
2000-03-17,710.0,718.0,686.0,692.0,396.77392578125,1141500000
2000-03-20,692.0,692.0,692.0,692.0,396.77392578125,0
2000-03-21,697.0,709.0,695.0,704.0,403.654296875,717000000
2000-03-22,700.0,720.0,699.0,720.0,412.8282165527344,889500000
2000-03-23,729.0,739.0,718.0,730.0,418.5619812011719,1217000000
2000-03-24,730.0,730.0,705.0,722.0,413.97503662109375,652000000
2000-03-27,731.0,733.0,725.0,731.0,419.1352844238281,742000000
2000-03-28,735.0,770.0,733.0,765.0,439.2306823730469,1171500000
2000-03-29,785.0,812.0,783.0,803.0,461.0490417480469,1470500000
2000-03-30,800.0,800.0,760.0,767.0,440.37921142578125,718500000
2000-03-31,787.0,788.0,730.0,735.0,422.0062255859375,617000000
2000-04-03,725.0,777.0,725.0,758.0,435.21185302734375,428000000
2000-04-04,750.0,760.0,745.0,760.0,436.36016845703125,1127500000
2000-04-05,765.0,790.0,741.0,776.0,445.5467529296875,709000000
2000-04-06,790.0,790.0,765.0,777.0,446.1208190917969,689000000
2000-04-07,777.0,785.0,735.0,743.0,426.599365234375,1102500000
2000-04-10,736.0,740.0,720.0,721.0,413.9678649902344,1012500000
2000-04-11,719.0,719.0,705.0,715.0,410.5229797363281,1042000000
