Date,Open,High,Low,Close,Adj Close,Volume
1993-02-23,8.0,8.125,7.65625,7.75,3.839228391647339,40594800.0
1993-02-24,7.875,8.0625,7.78125,7.96875,3.9475924968719482,9426400.0
1993-02-25,8.0,8.15625,7.96875,8.15625,4.0404767990112305,5229200.0
1993-02-26,8.15625,8.28125,8.03125,8.28125,4.102399826049805,2761200.0
1993-03-01,8.1875,8.21875,8.0,8.0,3.9630725383758545,3014400.0
1993-03-02,8.0625,8.25,8.03125,8.21875,4.071437358856201,3022800.0
1993-03-03,8.1875,8.3125,8.125,8.1875,4.055956840515137,2808800.0
1993-03-04,8.15625,8.25,8.15625,8.15625,4.0404767990112305,1783600.0
1993-03-05,8.125,8.34375,8.0,8.3125,4.117879867553711,3868800.0
1993-03-08,8.25,8.3125,8.1875,8.28125,4.102399826049805,2516000.0
1993-03-09,8.25,8.625,8.25,8.53125,4.226245880126953,2449200.0
1993-03-10,8.46875,8.90625,8.4375,8.875,4.396535396575928,3192800.0
1993-03-11,8.96875,8.96875,8.78125,8.875,4.396535396575928,1276400.0
1993-03-12,8.8125,9.0625,8.5,9.03125,4.47393798828125,2958800.0
1993-03-15,9.0,9.0,8.8125,8.875,4.396535396575928,1858400.0
1993-03-16,8.8125,8.90625,8.65625,8.6875,4.303650379180908,2182000.0
1993-03-17,8.6875,8.78125,8.59375,8.78125,4.350091934204102,2413600.0
1993-03-18,8.75,9.03125,8.75,9.0,4.458456516265869,1765200.0
1993-03-19,9.0625,9.0625,8.90625,8.90625,4.412014961242676,2397600.0
1993-03-22,8.9375,8.9375,8.78125,8.875,4.396535396575928,729200.0
1993-03-23,8.875,8.875,8.6875,8.6875,4.303650379180908,924000.0
1993-03-24,8.6875,8.6875,8.34375,8.59375,4.257207870483398,1787600.0
1993-03-25,8.53125,8.59375,8.40625,8.59375,4.257207870483398,1080400.0
1993-03-26,8.875,9.15625,8.84375,9.15625,4.53585958480835,2376800.0
1993-03-29,9.09375,9.25,8.9375,9.25,4.582302570343018,1273600.0
