Date,Open,High,Low,Close,Adj Close,Volume
1989-06-23,0.0,0.734375,0.6875,0.71875,0.2866189777851105,23190400
1989-06-26,0.0,0.78125,0.71875,0.765625,0.3053115904331207,7321600
1989-06-27,0.0,0.765625,0.734375,0.734375,0.2928498387336731,3054400
1989-06-28,0.0,0.765625,0.71875,0.71875,0.2866189777851105,2972800
1989-06-29,0.0,0.734375,0.703125,0.703125,0.28038814663887024,977600
1989-06-30,0.0,0.734375,0.703125,0.703125,0.28038814663887024,1406400
1989-07-03,0.0,0.734375,0.703125,0.734375,0.2928498387336731,94400
1989-07-05,0.0,0.703125,0.703125,0.703125,0.28038814663887024,137600
1989-07-06,0.0,0.734375,0.703125,0.71875,0.2866189777851105,161600
1989-07-07,0.0,0.734375,0.703125,0.7265625,0.289734423160553,1040000
1989-07-10,0.0,0.75,0.71875,0.71875,0.2866189777851105,419200
1989-07-11,0.0,0.765625,0.734375,0.734375,0.2928498387336731,2067200
1989-07-12,0.0,0.765625,0.734375,0.734375,0.2928498387336731,91200
1989-07-13,0.0,0.765625,0.734375,0.734375,0.2928498387336731,59200
1989-07-14,0.0,0.75,0.734375,0.734375,0.2928498387336731,219200
1989-07-17,0.0,0.75,0.75,0.75,0.29908061027526855,577600
1989-07-18,0.0,0.75,0.71875,0.75,0.29908061027526855,316800
1989-07-19,0.0,0.796875,0.734375,0.78125,0.3115423321723938,3595200
1989-07-20,0.0,0.828125,0.78125,0.8125,0.32400405406951904,1297600
1989-07-21,0.0,0.8125,0.78125,0.796875,0.3177731931209564,337600
1989-07-24,0.0,0.796875,0.765625,0.78125,0.3115423321723938,233600
1989-07-25,0.0,0.796875,0.78125,0.78125,0.3115423321723938,446400
1989-07-26,0.0,0.796875,0.78125,0.796875,0.3177731931209564,587200
1989-07-27,0.0,0.796875,0.78125,0.796875,0.3177731931209564,683200
1989-07-28,0.0,0.8125,0.78125,0.78125,0.3115423321723938,75200
