Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.5,8.0,7.4375,7.5,6.954929351806641,6212400
1995-06-19,7.5625,7.625,7.0625,7.1875,6.665140628814697,1528200
1995-06-20,7.25,7.3125,7.1875,7.1875,6.665140628814697,863000
1995-06-21,7.25,7.25,7.0,7.0625,6.54922342300415,629000
1995-06-22,7.0625,7.5625,7.0,7.3125,6.781055450439453,546200
1995-06-23,7.375,7.4375,7.25,7.3125,6.781055450439453,365000
1995-06-26,7.3125,7.375,7.0,7.0625,6.54922342300415,515400
1995-06-27,7.125,7.125,7.0,7.0,6.491268157958984,270800
1995-06-28,7.0625,7.0625,7.0,7.0,6.491268157958984,500400
1995-06-29,7.0,7.125,7.0,7.0,6.491268157958984,309200
1995-06-30,7.0625,7.1875,7.0625,7.125,6.607182502746582,95000
1995-07-03,7.0625,7.125,7.0625,7.0625,6.54922342300415,9200
1995-07-05,7.125,7.125,7.0625,7.0625,6.54922342300415,75600
1995-07-06,7.0625,7.125,7.0625,7.0625,6.54922342300415,81400
1995-07-07,7.0625,7.625,7.0625,7.5625,7.0128865242004395,475000
1995-07-10,7.5,7.75,7.5,7.75,7.186757564544678,241400
1995-07-11,7.625,8.5625,7.625,8.5,7.8822503089904785,538600
1995-07-12,8.5,9.0625,8.375,9.0,8.345914840698242,496200
1995-07-13,9.0,9.0,8.8125,8.9375,8.287958145141602,384000
1995-07-14,8.9375,8.9375,8.75,8.9375,8.287958145141602,102200
1995-07-17,9.0625,9.5,9.0625,9.4375,8.751618385314941,480200
1995-07-18,9.4375,9.4375,9.0,9.0625,8.4038724899292,359200
1995-07-19,9.0,9.0,8.8125,8.875,8.230001449584961,101600
1995-07-20,8.75,8.75,8.4375,8.6875,8.05612564086914,119600
1995-07-21,8.75,8.75,8.6875,8.6875,8.05612564086914,13000
1995-07-24,8.6875,8.8125,8.5625,8.5625,7.940216064453125,112000
1995-07-25,8.5625,8.8125,8.5625,8.75,8.11408519744873,201000
1995-07-26,8.875,9.1875,8.875,9.125,8.461832046508789,287800
1995-07-27,9.1875,9.375,9.1875,9.3125,8.635711669921875,101600
1995-07-28,9.375,9.4375,9.3125,9.3125,8.635711669921875,100400
1995-07-31,9.375,9.375,9.0625,9.25,8.57774829864502,60800
1995-08-01,9.1875,9.1875,9.0,9.0625,8.4038724899292,57600
1995-08-02,9.0,9.0,8.875,8.875,8.230001449584961,41000
1995-08-03,8.8125,8.8125,8.75,8.75,8.11408519744873,12600
1995-08-04,8.625,8.6875,8.5625,8.625,7.998172283172607,9000
1995-08-07,8.5625,8.75,8.5625,8.6875,8.05612564086914,12200
1995-08-08,8.625,8.6875,8.5625,8.5625,7.940216064453125,3200
1995-08-09,8.4375,8.4375,8.1875,8.1875,7.592463970184326,24000
1995-08-10,8.25,8.25,8.125,8.125,7.5345048904418945,6800
1995-08-11,8.125,8.125,8.125,8.125,7.5345048904418945,10000
1995-08-14,8.0625,8.125,7.9375,8.0,7.418592929840088,28200
1995-08-15,8.0,8.0625,8.0,8.0,7.418592929840088,9400
1995-08-16,8.0625,8.25,8.0625,8.1875,7.592463970184326,11800
1995-08-17,8.1875,8.3125,8.1875,8.25,7.650421619415283,6200
1995-08-18,8.375,8.375,8.25,8.25,7.650421619415283,9800
1995-08-21,8.25,8.4375,8.25,8.375,7.766334056854248,8600
1995-08-22,8.3125,8.4375,8.3125,8.4375,7.824294567108154,12400
1995-08-23,8.5,8.6875,8.5,8.5625,7.940216064453125,28800
1995-08-24,8.625,8.75,8.625,8.75,8.11408519744873,16200
1995-08-25,8.625,8.625,8.5625,8.5625,7.940216064453125,30200
1995-08-28,8.5625,8.5625,8.4375,8.4375,7.824294567108154,9200
1995-08-29,8.375,8.375,8.1875,8.1875,7.592463970184326,9200
1995-08-30,8.25,8.25,8.1875,8.1875,7.592463970184326,1400
1995-08-31,8.125,8.1875,8.125,8.125,7.5345048904418945,13800
1995-09-01,8.0,8.0625,8.0,8.0625,7.476551055908203,9200
1995-09-05,8.0,8.0625,8.0,8.0,7.418592929840088,12200
1995-09-06,7.9375,8.0625,7.8125,7.8125,7.2447190284729,23400
1995-09-07,7.8125,7.875,7.625,7.75,7.186757564544678,48800
1995-09-08,7.75,8.0,7.75,7.9375,7.3606343269348145,140200
1995-09-11,7.9375,7.9375,7.8125,7.875,7.302679061889648,104000
1995-09-12,7.9375,8.0,7.9375,8.0,7.418592929840088,11000
1995-09-13,8.125,8.125,7.8125,7.8125,7.2447190284729,14600
1995-09-14,7.625,7.8125,7.625,7.8125,7.2447190284729,14800
1995-09-15,7.75,7.75,7.6875,7.75,7.186757564544678,6200
1995-09-18,7.75,7.75,7.5,7.5,6.954929351806641,41600
1995-09-19,7.5625,7.625,7.5,7.5,6.954929351806641,5000
1995-09-20,7.5,7.5,7.1875,7.25,6.723097324371338,20800
1995-09-21,7.1875,7.375,7.125,7.375,6.83901309967041,61000
1995-09-22,7.4375,7.5,7.375,7.375,6.83901309967041,53400
1995-09-25,7.4375,7.5,7.3125,7.3125,6.781055450439453,28200
1995-09-26,7.25,7.375,7.125,7.3125,6.781055450439453,265000
1995-09-27,7.3125,7.3125,7.0625,7.0625,6.54922342300415,95200
