Date,Open,High,Low,Close,Volume
14-Jun-17,10.55,10.59,10.41,10.54,44783
13-Jun-17,10.58,10.59,10.51,10.58,18346
12-Jun-17,10.43,10.51,10.42,10.50,7904
9-Jun-17,10.50,10.64,10.50,10.59,11476
8-Jun-17,10.37,10.59,10.35,10.59,11683
7-Jun-17,10.60,10.60,10.52,10.57,27929
6-Jun-17,10.55,10.58,10.54,10.56,32477
5-Jun-17,10.42,10.54,10.42,10.49,32497
2-Jun-17,10.56,10.58,10.51,10.54,19317
1-Jun-17,10.52,10.56,10.50,10.56,5056
31-May-17,10.61,10.61,10.49,10.55,44407
30-May-17,10.36,10.52,10.27,10.50,81217
26-May-17,10.45,10.46,10.41,10.45,20148
25-May-17,10.67,10.67,10.63,10.65,12909
24-May-17,10.68,10.73,10.67,10.72,18131
23-May-17,10.71,10.77,10.70,10.77,24779
22-May-17,10.79,10.79,10.65,10.68,9403
19-May-17,10.58,10.67,10.58,10.67,10238
18-May-17,10.42,10.47,10.36,10.43,29270
17-May-17,10.45,10.45,10.37,10.41,9341
16-May-17,10.76,10.78,10.67,10.75,31870
15-May-17,10.52,10.62,10.52,10.62,31693
12-May-17,10.38,10.38,10.27,10.30,27032
11-May-17,10.31,10.32,10.23,10.31,75117
10-May-17,10.22,10.31,10.21,10.29,12828
9-May-17,10.52,10.52,10.14,10.16,50986
8-May-17,10.26,10.31,10.23,10.26,27955
5-May-17,10.47,10.62,10.44,10.61,15881
4-May-17,10.21,10.35,10.20,10.33,11603
3-May-17,9.97,10.02,9.97,10.01,16343
2-May-17,9.84,9.87,9.84,9.87,17165
1-May-17,9.80,9.88,9.78,9.84,6960
28-Apr-17,9.80,9.80,9.74,9.76,14833
27-Apr-17,9.66,9.66,9.50,9.58,28505
26-Apr-17,9.77,9.84,9.77,9.82,14158
25-Apr-17,9.84,9.92,9.83,9.87,21743
24-Apr-17,9.77,9.85,9.74,9.83,41805
21-Apr-17,8.83,8.92,8.83,8.89,4802
20-Apr-17,8.87,8.90,8.83,8.90,9198
19-Apr-17,8.73,8.80,8.71,8.71,19059
18-Apr-17,8.39,8.46,8.37,8.43,13864
17-Apr-17,8.47,8.60,8.47,8.57,7120
13-Apr-17,8.47,8.50,8.44,8.47,19401
12-Apr-17,8.60,8.63,8.57,8.63,38572
11-Apr-17,8.74,8.74,8.60,8.65,19978
10-Apr-17,8.81,8.81,8.78,8.79,6081
7-Apr-17,8.77,8.78,8.74,8.74,11500
6-Apr-17,8.90,8.91,8.84,8.87,8782
5-Apr-17,9.04,9.04,8.93,8.95,16093
4-Apr-17,8.76,8.82,8.75,8.81,11127
3-Apr-17,8.95,8.95,8.84,8.93,12056
31-Mar-17,8.96,9.05,8.95,8.99,7390
30-Mar-17,9.05,9.11,9.00,9.10,9330
29-Mar-17,9.20,9.28,9.17,9.26,37244
28-Mar-17,9.40,9.52,9.40,9.50,21916
27-Mar-17,9.15,9.28,9.15,9.28,4027
24-Mar-17,9.15,9.25,9.12,9.17,12253
23-Mar-17,9.03,9.11,9.03,9.08,34195
22-Mar-17,8.96,9.04,8.95,8.97,26660
21-Mar-17,9.21,9.21,8.98,9.00,14649
20-Mar-17,8.99,9.02,8.90,8.92,23541
17-Mar-17,9.20,9.20,9.11,9.11,38306
