Date,Open,High,Low,Close,Volume
14-Jun-17,72.02,72.17,71.10,71.32,80666
13-Jun-17,70.80,71.31,70.68,71.24,90011
12-Jun-17,70.84,70.92,70.67,70.90,158199
9-Jun-17,71.80,72.38,71.72,72.34,85225
8-Jun-17,71.58,71.93,71.58,71.90,66392
7-Jun-17,71.62,71.72,71.19,71.70,167383
6-Jun-17,72.00,72.29,71.77,71.81,113673
5-Jun-17,72.56,72.69,72.47,72.60,88467
2-Jun-17,72.75,73.42,72.49,73.28,156236
1-Jun-17,70.96,71.23,70.79,71.23,67405
31-May-17,71.52,71.83,71.08,71.52,137083
30-May-17,70.45,70.84,70.41,70.69,128710
26-May-17,70.25,70.50,70.16,70.27,114410
25-May-17,70.84,71.09,70.49,70.62,101778
24-May-17,71.02,71.24,70.75,71.23,176998
23-May-17,71.21,71.46,70.92,70.94,86855
22-May-17,71.39,71.65,71.00,71.20,109665
19-May-17,70.95,71.88,70.95,71.76,108536
18-May-17,71.06,71.46,70.89,71.40,84414
17-May-17,72.34,72.34,71.39,71.40,227682
16-May-17,72.44,72.81,72.33,72.69,162514
15-May-17,70.96,71.44,70.95,71.32,162164
12-May-17,70.62,71.23,70.56,71.21,51511
11-May-17,71.11,71.23,70.59,71.18,91824
10-May-17,71.18,71.22,70.85,71.05,79630
9-May-17,71.39,71.74,71.34,71.50,94955
8-May-17,71.70,71.74,71.27,71.44,102708
5-May-17,71.64,73.05,71.50,73.05,87607
4-May-17,72.33,72.43,71.72,72.38,78345
3-May-17,72.28,72.56,72.09,72.40,400089
2-May-17,72.24,72.70,72.12,72.70,131297
1-May-17,71.97,72.07,71.78,71.92,66240
28-Apr-17,71.92,72.09,71.60,71.71,96969
27-Apr-17,72.30,72.45,71.70,71.94,93654
26-Apr-17,72.08,72.54,72.04,72.40,132565
25-Apr-17,72.27,72.70,72.16,72.70,953939
24-Apr-17,71.36,72.17,71.29,72.08,1642815
21-Apr-17,67.38,67.50,67.08,67.34,44427
20-Apr-17,67.61,67.94,67.43,67.54,70286
19-Apr-17,66.89,67.01,66.48,66.48,73522
18-Apr-17,67.00,67.18,66.65,67.05,76309
17-Apr-17,68.56,68.56,67.23,67.55,48595
13-Apr-17,67.22,67.38,66.92,67.00,62411
12-Apr-17,67.68,67.77,67.34,67.69,74115
11-Apr-17,68.69,68.73,67.31,67.89,276295
10-Apr-17,67.62,67.84,67.50,67.51,65615
7-Apr-17,67.73,68.22,67.67,67.98,67718
6-Apr-17,68.46,68.52,68.14,68.17,92207
5-Apr-17,68.36,68.63,68.06,68.20,102695
4-Apr-17,68.45,68.76,68.37,68.74,128277
3-Apr-17,68.58,68.63,67.77,68.19,76642
31-Mar-17,67.84,68.68,67.84,68.50,144379
30-Mar-17,67.81,68.60,67.81,68.28,117247
29-Mar-17,67.98,68.00,67.50,67.80,91764
28-Mar-17,66.94,67.95,66.92,67.72,113279
27-Mar-17,66.46,66.82,66.42,66.74,74808
24-Mar-17,66.75,67.37,66.64,67.20,80682
23-Mar-17,65.84,66.94,65.80,66.66,346400
22-Mar-17,65.82,66.17,65.78,65.90,1663166
21-Mar-17,67.48,67.56,66.21,66.21,189183
20-Mar-17,67.17,67.17,66.75,66.93,141438
17-Mar-17,67.14,67.14,66.60,66.60,136596
16-Mar-17,66.37,67.21,66.20,67.16,199853
15-Mar-17,65.49,66.49,65.44,66.36,160049
14-Mar-17,65.37,65.48,64.86,65.31,135224
13-Mar-17,65.72,65.92,65.46,65.50,78884
10-Mar-17,65.80,65.80,65.39,65.74,132142
9-Mar-17,65.69,65.84,65.36,65.56,203536
8-Mar-17,65.66,65.72,65.34,65.39,132738
7-Mar-17,65.57,65.84,65.42,65.76,242200
6-Mar-17,65.63,65.78,65.34,65.70,116002
3-Mar-17,65.96,66.12,65.63,66.12,137040
2-Mar-17,65.84,65.88,65.52,65.52,134502
1-Mar-17,65.78,66.50,65.68,66.34,276412
28-Feb-17,64.80,65.28,64.80,65.00,165426
27-Feb-17,64.46,64.96,64.43,64.92,346794
24-Feb-17,64.32,64.50,64.08,64.47,701304
23-Feb-17,65.37,65.44,65.06,65.14,212414
22-Feb-17,64.97,65.42,64.85,65.42,114622
21-Feb-17,65.36,65.95,65.30,65.95,211242
17-Feb-17,64.12,64.52,63.78,64.43,890914
16-Feb-17,64.70,64.88,64.50,64.86,170338
15-Feb-17,64.04,64.70,64.00,64.66,240056
14-Feb-17,64.26,64.70,63.90,64.62,225670
13-Feb-17,64.20,64.50,64.02,64.32,189014
10-Feb-17,63.60,63.86,63.49,63.78,93736
9-Feb-17,63.99,64.14,63.74,64.00,78116
8-Feb-17,63.62,64.00,63.62,63.93,84446
7-Feb-17,63.70,63.70,63.33,63.52,197836
6-Feb-17,63.16,63.24,62.78,63.10,226658
3-Feb-17,63.89,64.02,63.70,63.88,158588
2-Feb-17,64.45,64.50,64.04,64.12,121144
1-Feb-17,65.92,66.21,65.59,66.04,303174
31-Jan-17,63.74,65.00,62.82,64.98,482012
30-Jan-17,63.20,63.34,63.04,63.29,189268
27-Jan-17,63.96,64.13,63.63,63.78,76682
26-Jan-17,63.84,64.02,63.63,63.88,155512
25-Jan-17,63.94,64.49,63.94,64.40,136886
24-Jan-17,62.92,63.12,62.80,63.10,297560
23-Jan-17,62.40,62.56,62.20,62.46,231338
20-Jan-17,62.42,62.58,62.28,62.50,88860
19-Jan-17,61.93,62.00,61.52,61.92,135424
18-Jan-17,61.96,62.48,61.89,62.16,170620
17-Jan-17,62.31,62.47,62.24,62.38,99184
13-Jan-17,61.76,61.95,61.48,61.90,95724
12-Jan-17,61.59,61.97,61.55,61.87,157968
11-Jan-17,61.13,62.18,61.08,62.06,91132
10-Jan-17,62.37,62.50,62.08,62.08,130690
9-Jan-17,61.19,61.44,61.12,61.40,141130
6-Jan-17,60.87,61.31,60.77,61.05,101484
5-Jan-17,60.20,61.04,60.20,60.96,82154
4-Jan-17,60.17,60.64,60.08,60.55,128926
3-Jan-17,60.33,60.60,60.21,60.48,169000
30-Dec-16,61.04,61.63,61.00,61.21,90842
29-Dec-16,60.57,60.94,60.57,60.74,85674
28-Dec-16,60.34,60.37,60.00,60.16,94700
27-Dec-16,60.46,60.60,60.40,60.44,68368
23-Dec-16,59.93,60.24,59.88,60.18,74346
22-Dec-16,60.00,60.12,59.87,59.93,111602
21-Dec-16,59.78,59.88,59.60,59.74,100804
20-Dec-16,59.34,59.55,59.26,59.38,131162
19-Dec-16,59.83,60.14,59.69,59.69,83970
16-Dec-16,60.64,60.79,60.02,60.18,140802
15-Dec-16,60.08,60.48,59.99,60.33,169314
14-Dec-16,61.85,62.05,60.78,60.90,123774
13-Dec-16,61.55,61.92,61.44,61.44,219102
12-Dec-16,61.08,61.45,61.02,61.44,163706
9-Dec-16,60.51,60.71,60.32,60.63,81014
8-Dec-16,60.33,60.74,60.20,60.50,224204
7-Dec-16,59.63,60.78,59.59,60.68,139878
6-Dec-16,58.07,58.80,58.06,58.70,161844
5-Dec-16,58.00,58.80,57.96,58.71,141266
2-Dec-16,55.79,56.54,55.79,56.38,261422
1-Dec-16,56.26,56.53,56.00,56.49,124298
30-Nov-16,56.56,56.68,56.22,56.30,241198
29-Nov-16,55.76,56.60,55.74,56.42,239102
28-Nov-16,56.26,56.34,55.95,56.06,201936
25-Nov-16,56.78,56.98,56.74,56.96,122122
23-Nov-16,56.51,56.88,56.30,56.78,168910
22-Nov-16,57.34,57.35,57.03,57.35,96524
21-Nov-16,57.24,57.40,56.92,57.15,150458
18-Nov-16,56.83,56.83,56.27,56.42,403162
17-Nov-16,57.08,57.38,56.89,57.14,158910
16-Nov-16,57.90,58.04,57.50,57.64,120320
15-Nov-16,57.96,58.50,57.80,58.36,331304
14-Nov-16,58.80,58.92,58.40,58.80,131346
11-Nov-16,59.14,59.22,58.52,58.74,96658
10-Nov-16,59.68,60.06,59.32,59.62,270688
9-Nov-16,56.49,57.32,56.48,57.16,164158
8-Nov-16,56.53,56.94,56.41,56.93,124352
7-Nov-16,56.88,56.94,56.74,56.94,112940
4-Nov-16,55.85,56.34,55.72,56.03,130218
3-Nov-16,56.25,56.29,55.92,55.92,155624
2-Nov-16,56.40,56.49,56.10,56.25,131566
1-Nov-16,57.11,57.11,56.01,56.16,142086
31-Oct-16,56.60,56.92,56.42,56.82,91882
28-Oct-16,56.28,56.74,56.28,56.52,80280
27-Oct-16,56.84,56.92,56.50,56.72,71580
26-Oct-16,58.03,58.12,57.77,57.92,130898
25-Oct-16,58.17,58.25,57.86,58.04,111786
24-Oct-16,58.52,58.52,58.08,58.21,108924
21-Oct-16,57.56,57.91,57.56,57.88,76878
20-Oct-16,57.78,58.15,57.63,57.98,129644
19-Oct-16,57.64,57.96,57.58,57.94,158182
18-Oct-16,58.04,58.15,57.70,57.98,248628
17-Oct-16,57.62,57.70,57.30,57.31,219720
14-Oct-16,57.78,57.99,57.74,57.82,127434
13-Oct-16,56.52,57.42,56.47,57.29,129508
12-Oct-16,57.31,57.76,57.26,57.56,104666
11-Oct-16,58.74,58.76,57.78,57.86,261416
10-Oct-16,59.11,59.18,58.84,58.84,79942
7-Oct-16,58.88,58.88,58.14,58.62,113632
6-Oct-16,58.99,59.25,58.80,59.00,117900
5-Oct-16,59.00,59.18,58.87,59.13,135812
4-Oct-16,58.60,58.90,58.40,58.72,118162
3-Oct-16,58.59,58.68,57.86,58.68,399056
30-Sep-16,58.12,58.76,57.95,58.66,231572
29-Sep-16,58.03,58.24,57.10,57.30,171954
28-Sep-16,58.56,58.84,58.04,58.77,314308
27-Sep-16,57.58,58.56,57.54,58.47,314470
26-Sep-16,58.64,58.68,58.23,58.34,118830
23-Sep-16,59.50,59.70,59.48,59.62,71436
22-Sep-16,60.00,60.30,59.68,59.84,160532
21-Sep-16,57.88,58.61,57.74,58.44,88442
20-Sep-16,57.94,58.08,57.77,57.85,168172
19-Sep-16,58.49,58.64,58.12,58.32,81848
16-Sep-16,58.22,58.22,57.71,57.82,136142
15-Sep-16,58.63,59.56,58.47,59.54,103896
14-Sep-16,57.46,57.86,57.34,57.56,94428
13-Sep-16,58.06,58.10,57.09,57.45,112682
12-Sep-16,58.00,58.88,57.90,58.78,132054
9-Sep-16,59.08,59.14,58.21,58.38,128032
8-Sep-16,59.88,60.10,59.63,59.82,109004
7-Sep-16,60.63,60.92,60.53,60.91,186704
6-Sep-16,60.61,60.85,60.42,60.75,115868
2-Sep-16,60.50,60.76,60.14,60.66,86788
1-Sep-16,59.66,59.88,59.27,59.85,103822
31-Aug-16,59.92,60.13,59.50,59.79,77856
30-Aug-16,60.65,60.74,60.34,60.50,196194
29-Aug-16,60.02,60.33,59.94,60.30,128252
26-Aug-16,60.70,61.42,59.94,60.20,214088
25-Aug-16,60.38,60.54,60.28,60.28,77090
24-Aug-16,61.02,61.09,60.59,60.78,143878
23-Aug-16,60.66,60.88,60.42,60.48,108532
22-Aug-16,60.04,60.32,59.93,60.06,175734
19-Aug-16,60.29,60.71,60.10,60.70,263540
18-Aug-16,59.91,60.28,59.91,60.28,84354
17-Aug-16,59.51,59.82,59.28,59.72,156728
16-Aug-16,59.67,59.96,59.57,59.72,165996
15-Aug-16,59.73,60.00,59.72,59.74,178388
12-Aug-16,60.00,60.15,59.94,59.94,270582
11-Aug-16,59.44,59.96,59.36,59.66,161428
10-Aug-16,58.99,59.12,58.78,58.80,309532
9-Aug-16,57.94,59.00,57.90,58.94,469956
8-Aug-16,57.63,57.70,57.38,57.48,196526
5-Aug-16,56.34,56.78,56.34,56.70,143604
4-Aug-16,56.60,56.74,56.06,56.14,482516
3-Aug-16,53.69,54.14,53.61,54.09,85986
2-Aug-16,54.02,54.14,53.78,53.88,162578
1-Aug-16,53.96,54.24,53.82,53.98,155878
29-Jul-16,54.00,54.36,53.98,54.27,68378
28-Jul-16,53.84,53.89,53.54,53.82,71850
27-Jul-16,53.20,53.38,52.84,53.30,101758
26-Jul-16,52.60,52.84,52.52,52.68,105436
25-Jul-16,52.50,52.50,52.22,52.40,97860
22-Jul-16,52.27,52.34,51.95,52.05,181954
21-Jul-16,52.20,52.45,52.14,52.26,65488
20-Jul-16,52.12,52.50,52.00,52.42,100758
19-Jul-16,51.38,51.59,51.32,51.56,111578
18-Jul-16,51.91,52.23,51.72,52.02,154400
15-Jul-16,52.20,52.28,52.10,52.28,102158
14-Jul-16,52.34,52.56,52.21,52.24,108942
13-Jul-16,51.78,52.00,51.53,51.56,134070
12-Jul-16,51.87,51.94,51.50,51.53,350986
11-Jul-16,50.86,51.13,50.86,50.92,168600
8-Jul-16,49.25,49.52,49.14,49.52,149078
7-Jul-16,48.85,49.04,48.50,48.76,141664
6-Jul-16,49.06,49.28,48.50,49.14,175564
5-Jul-16,50.24,50.24,49.58,49.64,174050
1-Jul-16,51.30,51.35,51.12,51.26,118892
30-Jun-16,50.56,51.50,50.48,51.30,150940
29-Jun-16,50.40,50.60,50.30,50.50,278006
28-Jun-16,49.48,49.81,49.18,49.80,784716
27-Jun-16,49.29,49.29,47.72,48.80,648220
24-Jun-16,50.01,50.83,49.92,50.24,881106
23-Jun-16,55.31,56.00,54.92,55.98,208306
22-Jun-16,54.62,54.84,54.18,54.18,104988
21-Jun-16,54.02,54.43,53.74,54.23,118106
20-Jun-16,53.84,54.00,53.58,53.60,186988
17-Jun-16,52.04,52.44,51.62,52.42,180272
16-Jun-16,50.47,51.74,49.91,51.74,205618
15-Jun-16,51.52,51.93,51.50,51.60,118890
14-Jun-16,51.11,51.20,50.52,50.80,227026
13-Jun-16,51.83,52.18,51.38,51.48,188454
10-Jun-16,52.76,52.91,52.22,52.36,85320
9-Jun-16,53.98,54.34,53.98,54.18,60526
8-Jun-16,54.96,55.12,54.82,55.00,102372
7-Jun-16,55.22,55.34,55.16,55.18,104120
6-Jun-16,54.40,54.62,54.26,54.44,158286
3-Jun-16,53.99,54.22,53.64,54.16,133312
2-Jun-16,53.82,54.09,53.70,54.06,115856
1-Jun-16,53.90,54.38,53.84,54.30,99906
31-May-16,54.37,54.58,53.72,53.93,72338
27-May-16,54.92,54.99,54.72,54.92,124576
26-May-16,54.68,54.80,54.52,54.72,323706
25-May-16,54.00,54.36,53.99,54.31,1004972
24-May-16,52.74,53.22,52.74,53.22,138952
23-May-16,52.22,52.72,52.17,52.49,106146
